epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 3.2149405479431152, 0.16965921223163605, 1.7930254936218262, 0.41189709305763245
2, 0.15156640112400055, 0.16610604524612427, 0.38931530714035034, 0.4075610935688019
3, 0.14806225895881653, 0.1604084074497223, 0.3847886025905609, 0.40051019191741943
4, 0.14238394796848297, 0.14919671416282654, 0.3773379623889923, 0.38625991344451904
5, 0.13216517865657806, 0.14013807475566864, 0.363545298576355, 0.3743501901626587
6, 0.11573401093482971, 0.1210106760263443, 0.34019702672958374, 0.34786587953567505
7, 0.10221504420042038, 0.1048685610294342, 0.3197108805179596, 0.3238341510295868
8, 0.09633639454841614, 0.10038181394338608, 0.31038105487823486, 0.31683090329170227
9, 0.09417138248682022, 0.09901503473520279, 0.3068735599517822, 0.3146665394306183
10, 0.09528428316116333, 0.10594932734966278, 0.30868151783943176, 0.3254985809326172
11, 0.09516158699989319, 0.10536286234855652, 0.30848270654678345, 0.32459646463394165
12, 0.0968988835811615, 0.10991998016834259, 0.3112858533859253, 0.33154183626174927
