epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 0.34541842341423035, 0.02707754634320736, 0.5877230763435364, 0.16455256938934326
2, 0.019536029547452927, 0.021540435031056404, 0.13977134227752686, 0.14676660299301147
3, 0.015437654219567776, 0.01552816666662693, 0.12424835562705994, 0.12461206316947937
4, 0.00878873374313116, 0.006520744413137436, 0.09374824911355972, 0.08075112849473953
5, 0.004875959362834692, 0.005259211640805006, 0.06982807070016861, 0.0725204199552536
6, 0.003321691881865263, 0.002583041787147522, 0.05763412266969681, 0.0508236326277256
7, 0.0029226900078356266, 0.002591455355286598, 0.05406190827488899, 0.050906337797641754
8, 0.0027365845162421465, 0.0022495361045002937, 0.052312374114990234, 0.04742927476763725
9, 0.002365612192079425, 0.003037931164726615, 0.04863755777478218, 0.05511743202805519
10, 0.0023230223450809717, 0.0030418611131608486, 0.04819774255156517, 0.05515306815505028
11, 0.0024150381796061993, 0.002210830571129918, 0.04914303869009018, 0.04701947048306465
12, 0.002503594383597374, 0.0023252214305102825, 0.050035931169986725, 0.048220548778772354
13, 0.002499663271009922, 0.0022944901138544083, 0.04999663308262825, 0.047900836914777756
