epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 0.3087013363838196, 0.10994073003530502, 0.5556089878082275, 0.33157312870025635
2, 0.10458382219076157, 0.11008461564779282, 0.32339420914649963, 0.331790030002594
3, 0.10430032759904861, 0.10885346680879593, 0.3229556083679199, 0.32992950081825256
4, 0.10357560217380524, 0.10791335254907608, 0.3218316435813904, 0.3285016715526581
5, 0.1028895229101181, 0.1085953637957573, 0.3207639753818512, 0.32953810691833496
6, 0.10183223336935043, 0.1072782650589943, 0.3191116452217102, 0.3275336027145386
7, 0.09988509863615036, 0.10484979301691055, 0.3160460293292999, 0.32380518317222595
8, 0.09734585881233215, 0.10456504672765732, 0.3120029866695404, 0.323365181684494
9, 0.09594659507274628, 0.09848129749298096, 0.3097524642944336, 0.3138172924518585
10, 0.0946015864610672, 0.12383860349655151, 0.30757370591163635, 0.3519071042537689
11, 0.09638389199972153, 0.0952984020113945, 0.3104575574398041, 0.3087044060230255
12, 0.09170477092266083, 0.0935056284070015, 0.30282795429229736, 0.3057869076728821
13, 0.09483266621828079, 0.109562948346138, 0.30794912576675415, 0.33100295066833496
14, 0.09562746435403824, 0.10028732568025589, 0.30923691391944885, 0.31668174266815186
15, 0.09245429188013077, 0.09157033264636993, 0.30406296253204346, 0.30260589718818665
