epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 5.068325519561768, 0.02557617425918579, 2.2512941360473633, 0.15992552042007446
2, 0.019345944747328758, 0.01911626011133194, 0.1390897035598755, 0.1382615715265274
3, 0.01290807593613863, 0.010657619684934616, 0.11361371725797653, 0.10323575139045715
4, 0.0064431848004460335, 0.005259902682155371, 0.08026944845914841, 0.07252518832683563
5, 0.004262656904757023, 0.004340257961302996, 0.06528902798891068, 0.06588063389062881
6, 0.0035259146243333817, 0.003947424236685038, 0.05937941372394562, 0.06282853335142136
7, 0.003273376263678074, 0.003565447172150016, 0.057213425636291504, 0.05971136689186096
8, 0.003270006738603115, 0.0040670582093298435, 0.057183973491191864, 0.0637734904885292
9, 0.003196832025423646, 0.004398100543767214, 0.056540533900260925, 0.06631817668676376
10, 0.0032132118940353394, 0.0035475126933306456, 0.0566851980984211, 0.059560999274253845
11, 0.0029579661786556244, 0.0033050444908440113, 0.05438718944787979, 0.05748951807618141
12, 0.0028734011575579643, 0.0064428881742060184, 0.053604114800691605, 0.08026760071516037
13, 0.0030030941125005484, 0.0029502937104552984, 0.05480049550533295, 0.05431660637259483
14, 0.003212757408618927, 0.003966801334172487, 0.05668118968605995, 0.06298254430294037
15, 0.0033499959390610456, 0.002791321836411953, 0.05787914991378784, 0.052832961082458496
