epoch, trainloss, validationloss, trainRMSE, validationRMSE
1, 0.04535326734185219, 0.01344982348382473, 0.2129630595445633, 0.11597337573766708
2, 0.010702085681259632, 0.003223814768716693, 0.10345088690519333, 0.056778647005558014
3, 0.004873333033174276, 0.0026634568348526955, 0.06980926543474197, 0.05160868912935257
4, 0.0037855012342333794, 0.002550828969106078, 0.061526428908109665, 0.050505731254816055
5, 0.0035521259997040033, 0.004912656731903553, 0.05959971621632576, 0.07009034603834152
6, 0.003469388233497739, 0.002643047599121928, 0.05890151485800743, 0.051410578191280365
7, 0.0030731672886759043, 0.002590848132967949, 0.0554361566901207, 0.05090037360787392
8, 0.0029300334863364697, 0.0024974318221211433, 0.05412978306412697, 0.049974311143159866
9, 0.002670806599780917, 0.0037118976470083, 0.05167984589934349, 0.06092534586787224
10, 0.0024421538691967726, 0.003863790538161993, 0.04941815137863159, 0.06215939670801163
11, 0.002477732952684164, 0.003558119060471654, 0.0497768297791481, 0.05964997038245201
12, 0.0023520472459495068, 0.003140372922644019, 0.04849791154265404, 0.056039031594991684
13, 0.0022546674590557814, 0.0035037114284932613, 0.04748333990573883, 0.05919215828180313
14, 0.0021833942737430334, 0.0033432021737098694, 0.04672680422663689, 0.057820431888103485
15, 0.002182059222832322, 0.0030118334107100964, 0.046712517738342285, 0.05488017201423645
16, 0.001991068245843053, 0.0023227620404213667, 0.044621389359235764, 0.048195041716098785
17, 0.0019450586987659335, 0.002485213801264763, 0.04410281777381897, 0.0498519204556942
18, 0.001941531547345221, 0.0027141855098307133, 0.04406281188130379, 0.05209784582257271
19, 0.0018367895390838385, 0.0023862370289862156, 0.042857781052589417, 0.04884912446141243
20, 0.001798467244952917, 0.002650461858138442, 0.04240833967924118, 0.051482636481523514
21, 0.0018580195028334856, 0.0024180137552320957, 0.04310474917292595, 0.049173302948474884
22, 0.0017854796024039388, 0.0021785765420645475, 0.04225493595004082, 0.04667522385716438
23, 0.0017372372094541788, 0.0025291158817708492, 0.04168017581105232, 0.050290316343307495
24, 0.0017547421157360077, 0.0025121422950178385, 0.04188964143395424, 0.05012127757072449
25, 0.0016793003305792809, 0.0021127851214259863, 0.04097926616668701, 0.0459650419652462
26, 0.0016990246949717402, 0.002567313378676772, 0.04121922701597214, 0.050668664276599884
27, 0.0016500275814905763, 0.0021288010757416487, 0.040620531886816025, 0.046138931065797806
28, 0.0016387614887207747, 0.0021996863652020693, 0.04048161953687668, 0.04690081253647804
29, 0.0015597972087562084, 0.0026856022886931896, 0.03949426859617233, 0.05182279646396637
30, 0.0016241110861301422, 0.002147348364815116, 0.04030026122927666, 0.0463394895195961
31, 0.0016102504450827837, 0.002075409982353449, 0.04012792557477951, 0.04555666819214821
32, 0.0016329842619597912, 0.0023891085293143988, 0.04041019827127457, 0.0488785095512867
